Agent_1_x,Agent_1_y,Agent_2_x,Agent_2_y,Agent_3_x,Agent_3_y,Agent_4_x,Agent_4_y
7.005779642441719,5.87193969864421,7.954741992983612,7.001998219945985,1.9170485924925276,6.8859161432621665,3.9572270660588993,7.5992468754918026
1.9125572071023669,0.8984852044746526,2.9943380646023012,6.968302814523004,2.0018486301467346,0.9885987413655922,2.998052963850338,6.9776019660359
5.048126676941237,6.876752291141298,7.997590058076364,0.9978395728919427,6.955390148802651,7.999846639315762,1.9991898301279862,2.0522991158202073
3.7893320279889164,6.618423667931472,6.957785555468288,4.929025856202353,6.990821346547281,5.91741064530204,4.090103015886323,6.586343230693484
7.022360990249375,5.944895388923123,2.2034940751526895,6.91701033215027,6.9468838608206065,1.0089651279847711,7.0058963709992925,0.9956326672346383
6.207673670573216,3.2887837505651447,7.720223127640202,7.974578338503026,2.6283002861239413,3.9584364701466446,2.665902438464862,5.928576208828712
5.714107467066378,2.0687544449142847,5.046322494330117,3.0815928049703407,2.9573499440352906,3.31195200872293,5.874936565168728,3.2934714634045954
1.917270637421176,1.8975360343804322,3.7797279012168934,6.90149696891639,3.982425619867273,2.083749330433427,6.9549039115623446,2.9969819257850623
1.9545172169040257,6.938253504217953,4.105331778923687,6.914907249105807,3.769107542512299,2.973348982274407,6.032454393644582,7.591341120536785
5.723493562450922,1.9984873875360933,6.168575238794729,2.9671432953615335,7.721310006011509,1.0010372070441917,3.0264949943827832,5.270151545205731
1.8735498655184024,3.2724076701950913,1.8711223865266184,6.551246271634243,7.710041007247523,1.979011356561968,4.997379050650822,1.0617237828826678
3.0020729808507616,1.000032497287498,7.750728177703438,3.3382038770628277,2.231525664022273,6.948773817533635,2.2213378093788907,6.906502628442722
2.008119899702695,7.961587468310663,2.028816030846234,1.995794844482267,1.0474265905075084,7.8687261684250664,1.0635242860591887,0.9788297725995652
7.074797943544687,2.9972540084521455,2.061286576839863,2.9567067883035665,6.965759481310025,0.9906928158436129,6.089620630497928,6.877662877862458
7.981360096693026,2.9912278133512245,1.9813744356014096,1.9264721096299537,6.72773946096643,3.9829676121982605,1.3507302338772085,0.9864547870716746
3.116602693985689,6.924347511694241,5.04697656805836,1.1018942905281437,4.747235862333855,2.049529683616888,1.3009568948750405,2.028293435861473
1.393345623052215,7.625225677789451,7.078342984064011,7.878652741979731,7.080261170338616,2.0216495616448036,4.988713286950717,2.107719056000355
4.041416232933064,7.583707621099683,7.090483836525596,6.981612268301776,3.0894049214839456,7.590919292129248,7.000512628361579,7.971647015124178
1.1520972586446463,7.86083610315394,5.1374476205368955,2.136580419019263,7.056103732884638,6.030484990822601,7.048608160407278,6.93227953380347
5.0585974888899505,3.1232068324592386,7.0547921960682185,5.553430539614814,3.0904880161003683,4.876870531276164,4.064785240039472,3.009829705850504
8.027102630705105,0.9797543057396993,6.052962801713018,2.0349284486996986,3.0762016569345705,1.0956218890562277,7.051697206743972,6.823834587176514
6.0389782254907765,1.9971574482248935,7.788186014266229,6.784347568857892,3.040363794964964,0.9914221457135707,7.060909499077121,4.138409823698059
2.3989608497971093,7.955624630861275,4.0512253220139485,2.13247993455508,5.968361437786129,2.9570473870167677,2.025197771374833,6.851658582560895
7.063655391598816,7.830885067247782,7.071446276419566,6.840235105794093,5.768923796256078,1.402016920371509,3.082734773466355,5.860356606143294
7.0503666414306405,4.426959840504275,5.693772796660662,7.762562309826548,3.0928491019897666,1.127581560675108,2.1635840170665146,3.0089980244673176
4.408938374170331,2.150115368734641,6.134194862346636,7.572531133190023,2.7855027521241014,5.880544485292905,5.75909736731858,2.1181230966186244
1.134356539256645,7.824702806391216,8.021357570215361,6.911964218715385,6.0648588376187105,1.1416509448343906,6.989617974701106,7.857017756836909
1.4194911841007363,6.891684444739013,5.4065165559568005,7.583345913293999,5.726469018140582,1.9433215634296068,2.116687738782023,2.131914759100469
6.080299732965645,1.419444595634299,7.065639237951948,1.1102974299321045,5.367515617914498,3.1126309076764738,7.037812860015565,6.935221578270134
2.0489830856223046,3.0060917263010505,3.0458110822310975,7.531698575970429,7.065846328327669,1.1098334777032166,6.048997127864276,3.0060998442864975
5.758899967063919,2.115404494801367,7.054994808835206,6.8234104876412855,2.398370120317433,1.9819102992600557,6.142331574422996,7.585055543104831
4.152732215930239,1.125034955375367,1.172146760784556,7.004799070660131,4.402754907866242,2.1174500754463876,2.1298435708465977,6.999012854756514
2.4666785436286593,7.971310085219269,6.762309895326853,4.158554015760423,6.914841278915642,4.73826272367046,2.351980427415579,3.1001601778196664
7.957278806055903,2.9336589005206393,6.910213891950909,4.7710732622788115,3.084830878970908,5.032880397135279,7.035724616276108,7.476978086699978
2.409919556663837,3.5004222196403436,3.3464281674099636,5.734672570127292,7.693717852155329,7.904316801116574,7.724882664801549,0.990313201374836
2.507518100813733,1.0365276617641592,4.058329647044421,1.025443718478771,4.093958132849306,7.9717051392970495,7.015814445361738,1.1067531300289446
3.123120261447268,2.177010441912564,7.886074782136578,1.9262680080991685,2.1062992051958562,1.1890076125091886,2.0730385787604617,7.49467494356691
2.9249198718624028,6.738479027644318,4.947183538200184,2.168346842396595,2.4134693893829886,3.175923392531289,2.9208627600542134,7.4516905861773415
1.9964600223507691,6.924487915488835,7.0654298667459585,3.169151606385683,3.185677562690228,3.021535263495321,1.9944773488009853,6.513846799193538
7.014237743735783,3.0791955091695917,5.896435468796638,3.0479351060804007,7.020512868488901,1.0915680867070405,3.0222188017304275,3.0859438407621615
4.733002223127756,7.740629853693766,2.030534641654945,7.496592579646219,2.092045813587957,1.556802689928566,5.788894636477587,6.866047212716418
5.963485463521665,6.488104111246882,4.892595939262546,2.2062873084886294,4.500069147140959,3.067729537300359,4.189963138208029,1.5881743453774273
6.156747239347312,2.5380248968594885,6.569778499172308,2.081156839927541,5.821260636176216,1.9690317409950069,1.5253045926683033,3.098696611702269
6.865752165458396,7.444730432786231,6.820374501735197,5.73213186779385,2.134510992430271,3.2241093718117875,2.0701323943384895,3.588524035821678
4.893141253233648,2.2089856327563497,2.231975327048456,1.11941000949388,5.842934282732198,2.060826244850409,7.803948438746156,6.972648648917154
3.2307538169382553,7.989438046822497,2.197127668739997,1.0551403302123088,1.0132277373653995,7.955669877722277,7.804267207203684,6.97153601934522
2.232114201824187,1.1191113761168028,2.258125476212479,7.006038369985369,7.891622217903617,2.978417686461592,1.1709881485949736,3.1365133094242044
2.3427828177479064,3.3006171446149364,3.187893586946181,5.255212546661966,6.460710586609554,3.608250242437064,2.6697065566391682,5.774997361719259
1.1118376728667625,7.805434111594972,1.5363830188142509,2.012824711659635,2.917675262822758,6.790608632371588,6.856544995122947,2.060053135957518
6.923677955982972,5.898839843996104,6.8518293917756505,2.0534853163171722,7.5263754604349336,0.9735357403692272,7.766440862131071,6.74129737289855
2.878612380956539,7.452944842019577,3.8682935289673,6.412699150410948,5.153555049756779,2.525308093430771,2.3815470439183954,3.530783659128067
4.84371891547879,3.0907843648371083,2.879866065542211,6.759387703061576,2.912491391564492,6.752100338630958,6.441598452096799,3.6236588801159537
2.0612539238056584,1.6252609553108937,3.9251510960885843,2.6142154262369677,1.1358085958466353,6.942101874144744,4.224483992459013,7.001853180015467
7.836255562372277,6.8917597433177376,4.834260128629633,6.950726038758358,6.83023753255418,1.2545012705462109,1.0229897844502607,6.9776995077985235
7.719914329740686,6.975119047915675,2.051400223700801,3.0034056811887906,5.369307212839363,7.7166161969516,3.235656976786456,1.2891973848386056
6.745912807344003,5.408734077841276,3.536635260504674,6.671388761728778,1.988585259813817,7.437335475164237,7.002070799320935,3.6279764529527143
